Player ID,National Team,Debut Date,Games Played,Goals Scored,National Team ID
41767,Schweiz U19,14.11.2006,6,-,19429
41767,Schweiz U18,29.03.2006,2,-,22998
39533,Angola,28.05.2014,14,-,3585
39533,Schweiz U21,31.03.2009,2,-,9534
39533,Schweiz U20,22.04.2008,1,-,16817
33756,Schweiz U21,10.02.2009,4,1,9534
33756,Schweiz U20,10.09.2008,3,-,16817
33756,Schweiz U19,02.09.2006,7,-,19429
33756,Schweiz U18,13.10.2005,4,-,22998
63384,Schweiz U21,20.08.2008,16,3,9534
63384,Schweiz U19,21.08.2007,4,-,19429
63384,Schweiz U18,18.04.2007,2,1,22998
33508,Schweiz U21,10.02.2009,8,1,9534
33508,Schweiz U20,05.09.2007,8,4,16817
33508,Schweiz U19,16.08.2006,10,-,19429
33508,Schweiz U18,14.09.2005,5,2,22998
33508,Schweiz U17,25.08.2004,3,-,23140
33508,Schweiz U16,14.10.2003,7,1,28155
52598,Kanada,11.11.2016,3,-,3510
52598,Schweiz U21,-,-,-,9534
52598,Schweiz U20,10.09.2008,3,-,16817
52598,Schweiz U19,23.04.2008,2,-,19429
52598,Schweiz U18,18.10.2006,1,-,22998
52598,Schweiz U17,-,-,-,23140
52598,Schweiz U16,26.04.2005,1,-,28155
31774,Schweiz U21,27.03.2007,12,-,9534
31774,Schweiz U20,21.11.2007,2,-,16817
31774,Schweiz U19,24.05.2006,10,-,19429
31774,Schweiz U18,14.09.2005,5,-,22998
31774,Schweiz U17,23.10.2003,15,1,23140
31774,Schweiz U16,26.08.2003,9,1,28155
54651,Schweiz U21,19.11.2008,2,-,9534
54651,Kroatien U21,20.08.2008,1,-,11943
33046,Schweiz U21,22.08.2007,9,-,9534
33046,Schweiz U20,05.09.2007,2,-,16817
33046,Schweiz U19,16.08.2006,14,-,19429
33046,Schweiz U18,14.09.2005,5,1,22998
65284,Türkei U23,09.02.2011,1,-,39417
65284,Schweiz U21,28.03.2009,1,-,9534
65284,Türkei U21,10.02.2009,7,-,9568
42296,Schweiz U21,31.03.2009,1,-,9534
42296,Schweiz U20,19.08.2008,4,-,16817
42296,Schweiz U19,21.08.2007,9,1,19429
42296,Schweiz U18,18.10.2006,1,-,22998
42296,Schweiz U17,04.07.2005,13,1,23140
42296,Schweiz U16,12.10.2004,10,-,28155
45178,Schweiz,20.08.2008,36,6,3384
45178,Schweiz U21,26.03.2008,7,2,9534
45178,Schweiz U19,11.10.2006,13,3,19429
45178,Schweiz U18,06.09.2006,1,-,22998
45178,Schweiz U17,04.07.2005,11,6,23140
45178,Schweiz U16,25.04.2005,5,1,28155
32704,Albanien,14.08.2013,16,1,3561
32704,Schweiz U21,20.08.2008,9,4,9534
32704,Schweiz U20,05.09.2007,5,-,16817
32704,Schweiz U19,16.08.2006,8,2,19429
32704,Schweiz U18,14.09.2005,6,1,22998
32704,Schweiz U17,23.08.2004,10,2,23140
32704,Schweiz U16,26.08.2003,8,1,28155
47543,Schweiz,06.02.2008,60,11,3384
47543,Schweiz U21,22.08.2007,7,8,9534
47543,Schweiz U19,02.09.2006,13,9,19429
203124,Schweiz,-,-,-,3384
203124,Schweiz U20,04.09.2014,2,-,16817
280387,Schweiz,26.03.2024,9,-,3384
280387,Schweiz U20,11.10.2015,4,-,16817
410787,Schweiz,08.09.2024,2,-,3384
247915,Schweiz,07.10.2020,4,-,3384
250490,Schweiz,12.10.2018,19,4,3384
194638,Schweiz,09.10.2015,41,4,3384
2865,Schweiz,15.11.2006,108,8,3384
2865,Schweiz U21,02.04.2003,30,1,9534
2865,Schweiz U19,21.08.2002,5,-,19429
2865,Schweiz U18,22.08.2001,6,-,22998
2865,Schweiz U16,14.10.1998,13,-,28155
2865,Schweiz U15,12.10.1999,9,-,28436
59238,Schweiz,10.06.2015,2,-,3384
59238,Schweiz U21,-,-,-,9534
59238,Schweiz U20,10.10.2006,2,-,16817
34561,Schweiz,01.03.2006,76,2,3384
34561,Schweiz U21,01.09.2006,2,-,9534
34561,Schweiz U20,01.09.2004,9,1,16817
34561,Schweiz U19,10.09.2003,8,1,19429
34561,Schweiz U17,21.08.2002,4,-,23140
34561,Schweiz U16,25.09.2001,4,-,28155
20081,Schweiz,22.08.2007,67,2,3384
20081,Schweiz U21,26.04.2006,9,-,9534
20081,Schweiz U20,20.10.2004,7,-,16817
20081,Schweiz U19,31.03.2004,8,-,19429
20081,Schweiz U16,13.11.2001,1,-,28155
21905,Schweiz,08.10.2005,83,2,3384
21905,Schweiz U21,25.03.2005,5,-,9534
21905,Schweiz U20,-,-,-,16817
21905,Schweiz U19,10.09.2003,9,-,19429
21905,Schweiz U18,16.07.2002,8,-,22998
9967,Schweiz,01.03.2006,69,11,3384
9967,Schweiz U21,18.08.2004,16,4,9534
9967,Schweiz U20,12.06.2005,4,-,16817
9967,Schweiz U19,13.07.2004,4,-,19429
4793,Schweiz,06.09.2006,50,-,3384
4793,Schweiz U21,22.11.2002,25,-,9534
4793,Schweiz U20,27.03.2002,10,-,16817
4793,Schweiz U19,30.08.2001,5,-,19429
4277,Schweiz,26.03.2005,57,5,3384
4277,Schweiz U21,21.08.2002,17,2,9534
4277,Schweiz U20,12.06.2005,3,-,16817
4277,Schweiz U17,31.07.2001,15,1,23140
4277,Schweiz U16,02.08.2000,12,3,28155
4277,Schweiz U15,11.04.2000,10,-,28436
59246,Schweiz,09.10.2015,4,-,3384
59246,Schweiz U20,12.05.2010,2,-,16817
59246,Schweiz U19,06.09.2008,7,1,19429
19041,Schweiz,02.09.2006,89,7,3384
19041,Türkei U21,19.05.2006,1,-,9568
19041,Schweiz U21,19.07.2005,3,-,9534
19041,Schweiz U20,26.10.2005,2,-,16817
1667,Schweiz,03.06.2006,61,-,3384
1667,Schweiz U21,15.01.2003,15,-,9534
1667,Schweiz U20,21.08.2002,9,-,16817
1667,Schweiz U19,30.08.2001,5,-,19429
1667,Schweiz U17,12.07.1999,11,-,23140
1667,Schweiz U16,30.03.1999,7,-,28155
1667,Schweiz Olympia,26.07.2012,3,-,53823
9915,Schweiz,26.03.2005,35,1,3384
9915,Schweiz U21,18.08.2004,30,3,9534
9915,Schweiz U20,12.06.2005,3,1,16817
9915,Schweiz U19,10.09.2003,9,-,19429
9915,Schweiz U18,16.07.2002,9,-,22998
